Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre04.g226001_4532,0.03,0,0.01,0.12,0.16,0.11,0.1,0.31,0.35
Cre04.g226050_4532,3.14,4.15,2.03,25.01,29.66,24.88,10.54,7.99,11.59
Cre04.g226100_4532,3.08,4.77,2.31,4.3,3.02,4.2,7.96,2.68,6.11
Cre04.g226150_4532,0.76,1.36,0.46,3.08,3.3,2.7,1.94,1.14,1.83
Cre04.g226200_4532,0.96,1.91,1.42,4.16,3.97,3.46,3.4,3.23,4.39
Cre04.g226400_4532,0.94,0.86,0.14,9.6,7.24,5.5,2.24,2.46,4.42
Cre04.g226450_4532,1.54,1.62,2.3,3.3,9,6.42,4.5,4.04,4.17
Cre04.g226500_4532,0.59,0.68,0.35,0.27,0.27,0.45,3.07,2.69,1.22
Cre04.g226550_4532,0.27,0.31,0.03,1.5,3.43,3.6,1.07,2.11,2.35
Cre04.g226600_4532,0.02,0.02,0.02,4.8,2.49,1.1,4.15,1.68,1.45
Cre04.g226700_4532,2.24,3.28,2,7.62,6.88,5.89,10.13,3.56,5.96
Cre04.g226750_4532,0,0.02,0,0.19,0.04,0.02,0.24,0.07,0.11
Cre04.g226800_4532,2.21,1.79,2.48,3.39,2.28,3.73,3.31,4.75,2.1
Cre04.g226811_4532,8.7,8.58,3.32,26.59,34.84,27.24,10.58,5.39,10.45
Cre04.g226850_4532,18.92,21.85,20.56,49.17,79.34,82.11,36.71,41.68,54.62
Cre04.g226900_4532,0.82,1.07,0.54,1.99,1.85,2.03,1.65,0.95,1.17
Cre04.g226950_4532,0.69,1.29,1.38,4.24,5.59,5.37,0.66,2.59,3.65
Cre04.g227000_4532,0.06,0.06,0.09,0.09,0.01,0.1,0.02,0.38,0.11
Cre04.g227050_4532,9.16,15.2,3.64,10.97,7.45,7.82,4.2,1.6,5.12
Cre04.g227200_4532,0.38,0.44,0.63,0.08,0,0.13,0.52,0.67,0.37
Cre04.g227205_4532,1.17,0.58,1.24,0.46,0,0,2.19,1.63,0.89
