Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre11.g467790_4532,0,0.14,0.29,0.6,0.45,0.89,0.15,0.42,0.58
Cre11.g467791_4532,0,0.13,0.07,1.12,0.42,1.11,0.75,0.79,0.82
Cre11.g467792_4532,0.76,1.52,0.31,1.45,3.24,1.69,1.25,2.25,3.14
Cre11.g467793_4532,0.68,0.85,0.38,1.42,1.18,1.16,1.72,0.7,1.3
Cre11.g467794_4532,1.08,1.21,0.41,1.21,1.28,0.66,1.42,1.24,1.94
Cre11.g467795_4532,2.79,2.58,1.78,5.6,11.01,7.47,2.78,3.47,4.98
Cre11.g467800_4532,1.19,1.06,0.86,1.19,0.62,0.55,4.81,2.98,3.41
Cre11.g467850_4532,2.04,1.45,2.37,0.37,0.38,0.7,1.68,2.51,2.17
Cre11.g467900_4532,1.54,1.45,0.93,10.88,12.44,11.65,6.94,4.46,8.7
Cre11.g467950_4532,6.59,9.23,3.04,31.55,66.15,43.59,38.27,7.87,17.81
Cre11.g468000_4532,0,0,0,0,0,0,0,0,0
Cre11.g468050_4532,0.82,1.09,0.73,4.71,6.26,4.41,1.66,1.43,3.07
Cre11.g468150_4532,0.3,0.79,0.38,2.09,1.93,1.66,2.28,1.69,2.77
Cre11.g468200_4532,0.29,0.22,0.3,1.23,0.08,0.38,0.53,1.65,0.67
Cre11.g468250_4532,9.64,9.48,6.64,12.06,3.43,5.95,14.99,13.33,16.37
Cre11.g468300_4532,29.32,27.7,24.45,105.15,298.09,244.43,144.87,48.04,97.73
Cre11.g468350_4532,1.86,1.56,2.17,0.87,0.29,1.23,3.96,0.42,0.95
Cre11.g468353_4532,0.3,0.23,0.38,0.6,0.3,0.55,1.54,0.65,0.69
Cre11.g468356_4532,0.51,0.57,1.28,0.55,0.42,0.91,0.91,2.3,1.74
Cre11.g468359_4532,0.77,1.06,1.63,17.86,13.88,14.24,12.96,11.4,8.59
Cre11.g468362_4532,1.2,1.21,1.53,0.01,0.03,0,0,0.01,0
Cre11.g468374_4532,0.02,0,0,0.22,0.05,0.05,0.16,0.03,0.13
Cre11.g468377_4532,1.79,1.29,2.86,1.68,4.95,3.42,3.97,3.71,4.39
Cre11.g468380_4532,1.34,1.77,0.78,4.35,3.65,3.1,3.15,1.58,3.01
Cre11.g468383_4532,0.25,0.72,0.5,1.67,0.4,1.14,0.52,1.98,1.35
Cre11.g468400_4532,3.43,5.72,3.7,7.99,13.16,11.9,0.31,5.6,7.5
Cre11.g468450_4532,39.65,37.65,38.61,299.53,397.41,367.34,131.49,104.06,136
Cre11.g468500_4532,1.9,2.53,2.76,5.24,3.53,3.58,5.72,3.92,4.87
Cre11.g468550_4532,50.76,22.15,147.64,60.99,49.35,70.08,92.46,79.02,92.45
Cre11.g468600_4532,0.44,0.51,0.83,1.43,1.56,1.38,1.29,2.32,1.85
Cre11.g468650_4532,0.25,0.35,0.15,0.54,0.33,0.57,0.21,0.51,0.62
Cre11.g468700_4532,5.32,4.69,3.51,7.63,5.86,5.59,8.22,5.06,8.49
Cre11.g468750_4532,73.95,57.7,95.08,107.32,94.38,110.44,68.65,128.82,146.48
Cre11.g468800_4532,1.5,2.04,0.76,8.62,6.07,6.99,1.69,1.76,2.83
Cre11.g468850_4532,3.43,2.11,8.15,9.25,7.76,10.98,19.62,15.11,17.98
Cre11.g468900_4532,16.74,18.16,9.11,18.93,27.93,22.28,19.32,11.44,17.05
Cre11.g468950_4532,105.68,75.19,347.08,112.79,91.21,112.69,116.64,261.34,246.3
Cre11.g469000_4532,6.02,7.21,5.37,6.91,11.66,9.68,24.04,7,16.76
Cre11.g469033_4532,0.48,0.24,0.74,0.38,0.51,0.25,0.5,0.24,0.49
Cre11.g469100_4532,0.74,1.19,0.82,1.29,0.08,0.41,0.82,1.87,2.47
Cre11.g469150_4532,4.9,4.17,6.32,9.21,3.24,4.15,14.68,6.74,8.73
Cre11.g469224_4532,0,0,0,0,0,0,0,0,0
Cre11.g469300_4532,3.98,4.47,1.96,20.86,22.52,19.74,20.3,9.6,17.99
Cre11.g469350_4532,0.72,0.55,0.53,1.97,0.9,0.78,3.75,0.95,1.32
Cre11.g469375_4532,0.82,0.93,1.37,2.01,1.88,2.41,0.7,2.19,1.21
Cre11.g469400_4532,0.38,0.09,0.93,0.25,0.2,0.49,1.27,2.33,0.82
Cre11.g469450_4532,0.53,0.44,1.11,0.57,5.12,3.41,0.42,2.56,2.27
Cre11.g469500_4532,1.77,2.42,0.36,13.98,20.27,13.1,5.63,4.1,7.35
Cre11.g469600_4532,1.01,1,1.25,1.09,1.34,1.03,3.5,2.4,2.63
Cre11.g469650_4532,0.67,2.31,0.68,13.6,12.81,16.67,3.62,19.56,33.28
Cre11.g469750_4532,0.72,0.81,0.82,3.74,2.64,3.4,3.98,1.74,3.19
Cre11.g469800_4532,0.07,0.11,0.19,1.82,2.15,1.84,2.57,3.01,2.26
Cre11.g474650_4532,1.58,1.45,0.4,0.58,0.57,0.58,2.33,0.94,0.51
Cre11.g474700_4532,3.25,2.74,1.66,6,8.21,7.14,4.43,2.89,5.59
Cre11.g474750_4532,2.05,1.75,0.95,3.42,4.54,3.79,5.31,3.48,5.55
Cre11.g474800_4532,0.77,1.37,0.67,5.75,6.47,4.7,4.87,2.63,2.63
Cre11.g474850_4532,1.56,1.17,0.67,2.75,2.07,2.85,4.82,2.7,3.12
Cre11.g474950_4532,10.88,13.68,6.41,53.34,64.03,63.56,27.39,23.86,37.75
Cre11.g475000_4532,6.2,5.49,3.75,14.07,15.38,15.88,27.36,12.4,16.29
Cre11.g475050_4532,1.7,2.16,0.88,1.03,2.39,2.28,4.37,0.76,1.65
Cre11.g475100_4532,0.11,0.44,0.45,0.12,0,0.23,0.34,0.75,0.34
Cre11.g475150_4532,6.67,7.23,7.53,26.5,23.41,24.04,35.05,13.12,18.75
Cre11.g475200_4532,1.03,1.74,0.86,1.38,1.13,1.48,0.65,0.93,1.14
Cre11.g475300_4532,0.63,1.23,0.2,2.7,3.23,3,7.27,2.44,4.82
Cre11.g475350_4532,15.81,11.63,15.02,42.45,53.6,50.73,28.92,9.75,19.81
Cre11.g475400_4532,4.81,6.53,2.69,18.14,12.28,10.8,4.89,5.08,8.97
Cre11.g475432_4532,0.07,0.07,1.05,0.86,0.22,0.14,0.49,1.14,0.35
Cre11.g475450_4532,3.76,3.77,3.25,13.54,12.79,11.23,3.08,6.33,7.38
Cre11.g475500_4532,2.72,3.24,3.1,24.47,33.56,23.68,5.23,3.34,6.09
Cre11.g475550_4532,0.12,0,0.18,0.25,0.06,0.19,0.06,0.06,0
Cre11.g475600_4532,0.46,0.49,0.3,2.62,1.8,2.25,3.16,1.93,1.54
Cre11.g475650_4532,0.3,0.37,0.65,0.63,0.14,0.67,0.53,2.14,1.08
Cre11.g475700_4532,0.67,1.17,0.52,1.15,0.48,0.45,5.53,1.86,4.36
Cre11.g475750_4532,1.55,2,0.98,1,0.89,1.22,3.55,2.66,2.94
Cre11.g475800_4532,4.11,5.03,1.29,5.66,6.01,7.86,11.18,4.9,7.65
Cre11.g475850_4532,69.27,58.54,65.72,58.72,27.23,41.14,76.03,33.68,54.9
Cre11.g475900_4532,10.75,10.11,8.59,23.62,34.44,31.55,26.91,19.56,23.48
Cre11.g475950_4532,0.78,0.89,0.89,1.24,2.17,1.75,1.81,1.35,1.46
Cre11.g476000_4532,0.72,3.65,2.25,5.76,3.1,3.05,10.9,3.23,4.48
Cre11.g476050_4532,4.1,4.62,10.98,11.49,13.35,13.62,13.04,15.64,9.39
Cre11.g476100_4532,0.66,0.76,0.27,1.39,0.67,0.8,6.94,0.33,1.01
Cre11.g476150_4532,6.92,8.42,4.06,18.22,19.48,20.13,12.23,5.01,12.24
Cre11.g476200_4532,1.3,1.51,1.6,5.64,10.1,8.23,6.63,4.01,5.04
Cre11.g476250_4532,4.47,6.08,4.67,14.81,14.33,12.92,11.2,5.01,7.68
Cre11.g476376_4532,2.92,3.38,2.12,8.59,9.04,8.27,11.05,4.93,6.34
Cre11.g476400_4532,0.55,1.06,0.68,1.54,0.88,1.04,2.03,1.34,2.05
Cre11.g476450_4532,0.13,0,0.03,0.02,0,0,0.26,0.06,0.02
Cre11.g476500_4532,0.54,0.76,0.58,0.75,0.32,0.27,1.56,0.7,0.97
Cre11.g476550_4532,23.68,29.24,23.49,16.01,23.93,13.83,6.38,9.62,8.61
Cre11.g476600_4532,0.02,0.05,0,0,0.06,0,0.5,0.04,0
Cre11.g476650_4532,1.26,1.28,1.73,3.17,2.22,3.27,0.42,8.39,6.82
Cre11.g476700_4532,0.02,0,0,0,0,0,0.05,0.02,0.02
Cre11.g476750_4532,927.73,931.03,1216.05,689.68,354.18,370.64,837.6,1067.88,623.31
Cre11.g476800_4532,5.3,5.62,3.73,9.54,12.68,9.85,6.87,4.88,7.64
Cre11.g476850_4532,2.22,2.07,3.1,13.47,20.96,16.13,16.78,5.65,8.91
Cre11.g476900_4532,1.54,1.29,1.23,1.93,2.88,2.5,3.71,1.88,2.47
Cre11.g476950_4532,1.54,1.8,1.28,1.49,0.71,1.3,1.59,1.8,2.89
Cre11.g477000_4532,0.37,0.77,0.58,2.08,0.93,1.83,0.98,1.14,1.47
Cre11.g477050_4532,1.42,1.73,0.5,4.98,2.23,4.58,5.57,2.2,3.53
Cre11.g477100_4532,8.15,8.67,6.98,21.27,31.81,30.08,25.86,11.9,18.56
Cre11.g477150_4532,0.69,0.62,0.17,1.36,1.9,1.05,4.12,1.41,2.41
Cre11.g477200_4532,0,0,0.13,0.34,0.14,0.75,0.64,0.13,0.57
Cre11.g477250_4532,2.85,3.05,1.6,3.68,5.13,4.55,2.2,3.41,4.77
Cre11.g477300_4532,41.52,40.65,30.1,52.41,69.67,76.18,80.66,58.28,68.12
Cre11.g477350_4532,2.93,4.33,3.92,2.73,4.46,3.44,5.28,11.5,7.4
Cre11.g477400_4532,0.27,0.24,0.6,0.27,0.08,0.15,0.69,0.62,0.31
Cre11.g477450_4532,0.15,0.18,0.16,0.52,0.47,0.46,1.03,0.47,0.46
Cre11.g477500_4532,6.09,5.22,5.62,14.37,18.31,17.03,14.09,6.32,10.32
Cre11.g477550_4532,14.78,15.43,15.84,25.1,24.23,19.02,2.37,4.61,10.08
Cre11.g477625_4532,1.79,2.56,2.77,5,4.44,3.37,3.18,2.89,3.86
Cre11.g477700_4532,0.8,1.37,0.49,5.93,4.19,4.28,5.81,2.27,4.51
Cre11.g477733_4532,1.36,0.9,1.66,2.83,2.79,2.43,1.29,1.23,2.63
Cre11.g477750_4532,0.83,1.2,0.67,9.61,7.7,6.87,1.17,1.67,1.91
Cre11.g477800_4532,1.69,1.71,1.22,1.58,1.47,1.23,2.38,1.98,2.07
Cre11.g477850_4532,1.45,1.46,6.99,3.21,6.99,10.3,3.51,17.36,9.09
Cre11.g477900_4532,0.2,0.49,0.22,0.37,0.5,0.47,1.67,1.5,2.12
Cre11.g477950_4532,10.43,10.05,18.17,16.81,16.08,18.06,9.49,20.06,23.13
Cre11.g478000_4532,0.06,0.18,0.06,0.66,0.72,0.52,0.46,2.72,3.11
Cre11.g478050_4532,1.47,1.46,1.01,3.35,2.55,2.99,2.03,2.34,2.71
Cre11.g478100_4532,0.35,0.71,0.12,3.84,3.75,4.43,2.55,2.67,4.22
Cre11.g478128_4532,0.57,0.72,2.66,0.65,0.49,0.64,3.09,1.78,1.33
Cre11.g478156_4532,1.42,1.49,4.85,8.57,11.45,9.62,4.22,7.03,5.78
Cre11.g478184_4532,0.44,0.91,0.27,0.42,1.22,1.29,0.26,1.69,2.14
Cre11.g478240_4532,0.95,0.56,2.92,1.83,3.84,4.55,1.65,5.11,4.57
Cre11.g478300_4532,0.25,0.62,0.49,1.84,1.7,1.04,0.98,1.23,1.99
Cre11.g478350_4532,0.13,0,0.14,0,0,0.14,0.14,0,0
Cre11.g478400_4532,0.11,0.2,0.05,0.05,0.02,0.11,0.14,0.12,0.19
Cre11.g478450_4532,0.35,0.47,0.12,0,0,0.12,0.12,0.23,0
Cre11.g478456_4532,0.26,0.28,0.27,0.41,0.25,0.34,1.03,0.75,0.66
Cre11.g478528_4532,0.41,0.54,0.81,5.69,1.79,4.25,0.39,6.98,4.3
Cre11.g478600_4532,0.12,0.31,0.02,0.65,0.6,0.62,0.03,0.35,0.57
Cre11.g478650_4532,0.13,0.21,0.58,0.62,0.19,0.24,0.79,1.66,1.18
Cre11.g478700_4532,5.4,6.16,5.85,46.95,344.27,221.88,19.5,73.27,103.2
Cre11.g478750_4532,4.39,2.17,6.3,10.38,9.96,13.19,7.11,11.07,14.44
Cre11.g478800_4532,8.57,9.43,12.83,38.34,108.22,97.36,34.56,27.41,37.1
Cre11.g478850_4532,3.23,4.05,3.51,4.54,1.85,2.18,3.56,2.54,3.72
Cre11.g478950_4532,0.79,0.48,0.24,0.65,1.99,2.65,11.83,0.17,0.74
Cre11.g479000_4532,5.36,6.1,4.08,24.65,27.52,24.11,11.17,9.46,11.67
Cre11.g479050_4532,18.49,14.02,27.06,16.29,76.31,67.85,33.11,84.73,60.91
Cre11.g479100_4532,1.63,1.38,0.57,4.84,5.62,4.85,4.09,1.08,2.41
Cre11.g479200_4532,0.66,0.65,0.94,0.44,1.12,1.68,1.26,1.98,2.09
Cre11.g479250_4532,0.67,0.67,1.36,1.33,1.12,1.18,3.5,1.86,1.35
Cre11.g479300_4532,0.4,0.49,1.09,0.4,0.28,0.63,0.97,2.98,1.61
Cre11.g479350_4532,3.36,5.14,1.63,9.78,7.09,7.91,9.21,7.27,11.55
Cre11.g479383_4532,0.98,1.38,1.19,1.51,0.4,0.97,3.55,1.22,1.18
Cre11.g479450_4532,4.15,4.89,1.72,5.87,8.08,5.27,3.16,3.18,4.64
Cre11.g479500_4532,141.58,122.12,122.99,187.08,57.04,71.53,288.05,32.33,63.41
Cre11.g479550_4532,0.41,0.55,0.32,0.44,0.68,0.67,1.13,0.43,0.46
Cre11.g479600_4532,16.65,19.12,13.01,22.74,12.86,11.66,17.99,7.23,15.41
Cre11.g479650_4532,2.16,2.06,1.96,7.89,7.89,7.44,7.56,3.35,4.03
Cre11.g479700_4532,0.75,0.86,0.33,3.87,1.15,1.24,1.89,1.49,1.11
Cre11.g479750_4532,18.56,14.92,13.08,39.5,5.06,11.55,35.76,9.76,22.98
Cre11.g479800_4532,1.03,1.64,0.78,2.63,3.44,3.45,1.81,2.32,3.05
Cre11.g479850_4532,10.63,8.15,4.56,6.41,7.51,6.77,4.49,4.72,8.45
Cre11.g479900_4532,2.61,3.36,8.55,1.39,0.41,0.75,16.2,15.33,6.36
Cre11.g479950_4532,0.05,0.19,1.05,1.22,0.74,1.79,1.24,10.58,3.6
Cre11.g480000_4532,4.48,5.09,3.54,13.84,13.14,12.24,10.69,8.79,9.43
Cre11.g480050_4532,0.1,0.08,0,0.22,0.53,0.33,2.27,0.1,0.3
Cre11.g480060_4532,0.35,0.55,0.1,0.32,0.59,1.44,3.22,0.76,1.33
Cre11.g480079_4532,0.24,0,0.25,0,0,0,0.74,0.71,0
Cre11.g480100_4532,7.38,10.97,6.23,18.83,28.94,29.2,15.82,7.27,18.99
Cre11.g480150_4532,14412.57,16145.9,10135.13,11775.33,10836.43,11011.97,11043.54,8947.64,12285.3
Cre11.g480200_4532,0.25,0.15,0.09,0.47,0.52,0.43,1.56,0.9,0.68
Cre11.g480250_4532,0.58,0.43,0.17,29.31,22.29,26.51,11.64,9.52,14
Cre11.g480300_4532,0.04,0.07,0.01,0.85,0.46,0.41,0.88,0.64,0.71
Cre11.g480350_4532,0.88,1.25,0.58,1.09,2.35,1.75,0.87,1.76,2.4
Cre11.g480451_4532,0,0,0.02,0,0,0.01,0,0,0
Cre11.g480551_4532,2.99,3.52,2.08,8.12,10,7.5,5.99,3.28,4.23
Cre11.g480600_4532,1.66,1.95,0.78,1.96,2.38,2.21,5.74,2.24,3.27
Cre11.g480650_4532,0.81,1.03,1.6,2.94,3.4,3.03,3.31,2.07,2.69
Cre11.g480700_4532,0.2,0.34,0.06,0.35,1.21,1.04,1.07,1,1.39
Cre11.g480750_4532,0.1,0.42,0.03,0.27,0.23,0.23,0.53,0.17,0.82
Cre11.g480800_4532,0.61,0.38,0.42,0.6,1.13,1.46,4.52,0.19,0.43
Cre11.g480851_4532,0.34,0.65,0.07,4.93,12.41,10.88,7.97,6.48,8.58
Cre11.g480900_4532,1.69,2.04,1.39,5.01,6.45,4.74,3.12,3.04,4.95
Cre11.g480950_4532,16.75,28.05,36.64,80.37,91.6,83.32,21.01,49.88,59.21
Cre11.g481000_4532,5.46,7.81,5.91,8.96,4.23,7.73,12.21,12.02,11.98
Cre11.g481050_4532,0.21,0.14,0.14,0.29,0.74,0.43,0.26,0.23,0.21
Cre11.g481093_4532,0.1,0.06,0.05,0.19,0.05,0.08,0.2,0.37,0.28
Cre11.g481104_4532,0.39,0.54,1.64,0.34,0.08,0.13,0.11,1.85,1.61
Cre11.g481115_4532,1.57,1.75,1.73,2.98,1.74,1.63,1.25,3.05,3.74
Cre11.g481126_4532,10.32,12.2,8.8,15.43,59.35,49.8,22,60.24,52
Cre11.g481150_4532,0.52,0.59,0.58,0.24,0.09,0.14,1.93,1.05,0.99
Cre11.g481200_4532,2.26,1.82,1.51,6.57,6.78,6.2,3.96,3.64,5.16
Cre11.g481250_4532,1.05,1.29,1.14,2.39,1.78,1.91,3.45,1.98,2.43
Cre11.g481300_4532,0.05,0.05,0.05,0.19,0.05,0.09,0.14,0.22,0.19
Cre11.g481313_4532,0.27,0.43,0.4,1.44,0.87,1.31,1.62,1.14,1.78
Cre11.g481350_4532,1.51,1.71,0.8,2.34,5.32,3.72,1.49,1.98,3.92
Cre11.g481375_4532,0,0,0,0,0,0,0,0,0
Cre11.g481400_4532,0.28,0.52,0.25,3.44,5.87,3.54,2.41,3.02,5.78
Cre11.g481450_4532,2278.19,2089.09,2642.66,1954.35,1490.09,1550.49,1927.11,2132.46,1712.73
Cre11.g481500_4532,0.71,0.56,2.32,1.43,0.38,1.44,5.7,1.6,1.51
Cre11.g481550_4532,1.58,1.62,1.21,2.23,2.98,2.35,3.97,1.73,2.11
Cre11.g481600_4532,0.17,0.37,0.27,21.67,12.7,9.6,25.7,11.08,7.96
Cre11.g481650_4532,8.49,8.59,8.94,6.47,2.38,4.58,6.73,7.87,3.59
Cre11.g481700_4532,2.7,4.08,1.21,4.87,1.26,3.42,9.03,4.55,7.44
Cre11.g481750_4532,0.04,0,0.02,0.27,0.07,0.07,0.09,0.06,0.02
Cre11.g481800_4532,0.21,0.38,0.26,1.2,0.42,0.79,1.75,1.1,1.15
Cre11.g481866_4532,0.01,0.01,0.01,0.1,0.01,0,0.16,0.06,0.1
Cre11.g481900_4532,4.06,3.48,1.44,4.91,13.26,10.21,5.14,3.62,7.36
Cre11.g482001_4532,4.53,7.89,2.64,15.28,23.49,17.12,28.43,5.44,13.94
Cre11.g482050_4532,0.15,0.08,0.7,1.65,0.91,1.46,0.62,0.84,0.71
Cre11.g482101_4532,0.96,1.32,0.64,5.68,6.45,5.53,4.54,1.39,2.48
Cre11.g482150_4532,0.09,0.08,0.13,0.21,0,0.03,0.51,0.25,0.25
Cre11.g482200_4532,1.19,1.47,3.25,5.38,6.56,4.79,6.58,5.48,5.39
Cre11.g482250_4532,1.23,0.92,1.16,1.01,1.04,1.97,1.68,2.89,1.73
Cre11.g482300_4532,2.98,2.76,2.46,10.04,11.12,11.33,11.04,5.91,7.61
Cre11.g482351_4532,0,0,0,0,0,0,0,0,0
Cre11.g482400_4532,0,0,0.1,0,0.1,0,0.1,0,0.1
Cre11.g482450_4532,0.63,0.97,0.47,0.83,0.98,1.44,2.02,0.57,0.89
Cre11.g482483_4532,0.63,0.68,1.68,0.89,0.95,1.05,1.11,2.35,1.87
Cre11.g482550_4532,0,0,0.01,0.03,0.05,0.03,0.04,0.13,0.1
Cre11.g482600_4532,2.82,2.19,5.64,5.08,3.26,4.81,4.07,7.13,8.31
Cre11.g482626_4532,0.2,0.61,0.21,0.64,0.43,0.43,1.47,1.2,2.29
Cre11.g482650_4532,0.2,0.15,0.24,113.31,116.94,83.87,3.42,3.93,7.51
Cre11.g482700_4532,0.05,0.02,0.02,3.3,9.35,7.15,2.58,4.39,5.21
Cre11.g482750_4532,0.44,0.31,1.26,1.61,1.08,1.9,1.46,2.03,2.43
Cre11.g482800_4532,0.52,0.79,0.58,2.36,1.09,1.82,1.5,1.62,1.52
Cre11.g482841_4532,1.14,1.02,0.5,4.53,2.86,4.36,4.78,2.17,3.69
Cre11.g482850_4532,0.06,0,0,1.53,1.06,1.01,1,0.44,0.56
Cre11.g482900_4532,9.77,13.46,5.73,18.24,20.6,20.24,12.58,10.12,16.17
Cre11.g482952_4532,8.19,11.07,5.24,31.7,27.73,24.57,14.21,4.82,9.06
Cre11.g483000_4532,0.42,0.77,0.23,0.02,0.06,0.08,0.02,0.07,0.04
Cre11.g483100_4532,2.52,2.84,2.54,3.31,3.12,3.09,1.6,2.11,2.43
Cre11.g483150_4532,4.32,5.29,3.4,9.03,8.35,6.85,8.14,4.88,8.08
Cre11.g483200_4532,1.57,2.25,2.29,1.96,2.88,2.92,2.96,2.92,4.73
Cre11.g483250_4532,0.08,0.18,0.26,5.01,18.39,14.56,2.92,17.8,12.14
Cre11.g483351_4532,0.55,0.42,1.03,23.77,64.53,38.15,13.71,34.77,28.33
Cre11.g483400_4532,2.59,3.11,1.53,4.86,5.68,4.67,7.27,4.1,6.36
Cre11.g801225_4532,0.65,3.29,0.51,1.73,1.22,4.12,2.2,11.81,8.41
Cre11.g801226_4532,4.09,7.11,2.55,5.56,4.16,10.06,5.22,21.85,24.01
Cre11.g801228_4532,0,0,0,0,0,0,0,0,0
Cre11.g801229_4532,0.01,0.03,0,2.7,4.85,4.03,0.07,0,0.18
Cre11.g801230_4532,0.08,0.07,0,0.06,0.52,0.42,0.26,0.11,0.5
Cre11.g801231_4532,0.33,0.54,0.08,1.04,1.11,0.54,9.22,1.31,2.58
Cre11.g801232_4532,0.5,0.19,0,0.95,0.16,0.29,8.54,1.24,2.64
Cre11.g801233_4532,0,0.34,0.19,0.73,0.69,0.54,4.92,1.24,1.11
Cre11.g801235_4532,1.9,2.37,0.12,4.59,0.69,0.34,12.23,0.92,5.6
Cre11.g801236_4532,1.49,0.66,0.26,5.9,3.31,2.69,26.39,2.51,9.22
Cre11.g801238_4532,0.16,0.04,0,0.3,0.08,0,3.19,2.32,0.17
Cre11.g801239_4532,8.02,7.09,7.86,6.85,2.89,5.29,12,13.77,6.69
Cre11.g801241_4532,4.15,3.19,3.53,7.23,7.13,6.43,7.81,5.8,6.54
Cre11.g801245_4532,0.13,0.23,0.09,1.18,0.95,0.61,0.27,0.92,0.82
Cre11.g801248_4532,1.47,0.93,1.15,2.54,0.99,1.75,0.96,3.48,1.14
Cre11.g801249_4532,0.06,0.16,0,0.19,0.02,0.15,0.47,0.18,0.18
Cre11.g801250_4532,0.12,0.09,0.06,1.19,1.24,1.21,1.2,0.36,0.53
Cre11.g801251_4532,0.18,0.19,0,0.98,0,0.19,1.72,0,0.57
Cre11.g801254_4532,2.05,2.04,1.02,153.45,177.52,158.08,35.8,32.45,54.97
Cre11.g801257_4532,1.03,1.38,0.63,1.36,1.28,1.21,1.32,0.86,2.32
Cre11.g801258_4532,2.86,3.4,1.65,10.16,17.62,15.83,3.21,1.56,6.01
Cre11.g801259_4532,0.12,0.88,0,0.21,1.55,0.44,0.52,0.07,0.37
Cre11.g801260_4532,4.99,4.86,2.49,3.6,1.02,3.03,10.22,9.44,9.13
Cre11.g801262_4532,0,0,0.46,0,0,0.95,4.18,2.86,1.23
Cre11.g801264_4532,7.11,7.3,3.32,0,0,0,10.6,9.42,5.68
Cre11.g801266_4532,0,0.56,0,4.36,9,10.03,11.3,7.23,29
Cre11.g801268_4532,8.59,18.51,0.24,59.31,24.74,38.31,58.94,22.38,55.12
Cre11.g801270_4532,7.11,7.3,3.32,0,0,0,10.6,9.42,5.68
Cre11.g801271_4532,3.44,0.36,0.26,2.65,0.72,2.62,2.06,0.79,1.01
Cre11.g801273_4532,0.76,1.41,0,5.81,1.91,4.83,4.36,2.4,1.97
Cre11.g801274_4532,0,0,0.1,0,0,0,0.1,0,0
Cre11.g801275_4532,0,0.08,0.34,0,0,0,0.13,0.04,0
Cre11.g801276_4532,1.22,1.7,0.48,0.27,0.07,0.07,2.49,0.19,0.36
Cre11.g801278_4532,0.18,0.08,0,0.17,0.28,0.2,0.41,0.34,0.36
Cre11.g801279_4532,0.33,0.51,0.95,1.51,1.07,1.32,2.43,1.33,3.88
Cre11.g801280_4532,6.35,5.01,2.94,4.93,1.87,2.68,4.77,2.75,4.77
Cre11.g801281_4532,0.17,0,0.09,0.09,0.09,0,0.35,0.84,0.17
Cre11.g801282_4532,0.35,1.86,0.31,2.74,2.24,2.78,1.6,1.63,3.59
Cre11.g801283_4532,0,0.09,0,0,0,0.4,0.17,0,0
Cre11.g801286_4532,0.37,0.18,0.06,0.58,0.07,0.51,1.39,1.33,1.83
Cre11.g801287_4532,0.21,0.1,0.05,0.72,0.44,0.76,0.97,0.26,1.55
Cre11.g801288_4532,0.01,0,0,0.37,0.16,0,0.23,0.17,0.06
Cre11.g801289_4532,0.24,0.37,0.38,0.26,0.13,0.13,0,1.57,0.25
Cre11.g801290_4532,0.41,0.86,0.05,0.96,1.05,0.79,0.7,0.43,0.9
Cre11.g801291_4532,1.28,1.7,0.69,0.19,0.85,0.51,0.83,1.14,2.15
Cre11.g801292_4532,0.28,0.2,0.16,0.11,0.05,0.02,0.18,0.32,0.29
Cre11.g801293_4532,0.23,0.31,0.47,0.47,0.11,0.4,1.35,1.18,0.9
Cre11.g801294_4532,0.21,0,0.13,1.28,0.31,1.23,0.71,1.75,1.21
Cre11.g801295_4532,0.22,0.77,0.55,0.5,0.16,0.58,0.35,2.14,1.45
Cre11.g801296_4532,0.38,0.17,0.58,1.15,0.44,1.31,0.79,2.99,3.88
Cre11.g801297_4532,0,0,0.14,0.3,0,0.11,0,0.63,0
Cre11.g801298_4532,0.09,0.07,0.35,0.59,0.41,0.27,0.45,0.73,0.32
Cre11.g801299_4532,3.64,6.39,2.2,5.09,5.31,5.11,15.29,5.8,14.96
Cre11.g801300_4532,0.74,0.37,1.51,0.25,0.05,0.17,2.14,4.13,2.29
Cre11.g801301_4532,0.62,0.96,1.35,0.57,0,0.74,2.67,2.58,1.17
Cre11.g801302_4532,9.54,13.41,3.02,14.11,12.02,13.12,30.19,11.14,30.87
Cre11.g801303_4532,0.39,0.56,0.92,0.53,0.18,0.64,2.3,1.87,1.6
Cre11.g801304_4532,1.47,1.71,1.03,1.95,0.51,1.78,3.19,2.43,3.28
Cre11.g801305_4532,4.05,5.81,2.33,5.13,1.77,4.19,12.07,5.51,11.55
Cre11.g801308_4532,16.65,14.5,0.43,63.81,80.25,100.02,44.33,1.59,16.17
Cre11.g801318_4532,3922.12,3264.5,3758.35,4131.36,2920.79,4258.21,4353.48,4939.09,5188.43
Cre11.g801319_4532,0,0,0,0,0,0,0,0.07,0.89
Cre11.g801320_4532,0.27,0.49,0.18,2.14,1.49,1.27,1.64,1.81,2.12
Cre11.g801321_4532,0.08,0.08,0,0,0.12,0.36,0.1,0.63,0.1
Cre11.g801322_4532,3.7,10.23,1.21,22.34,20.06,12.93,7.08,1.94,7.44
Cre11.g801323_4532,3.02,3.9,1.08,4.44,4.26,4.07,8.03,0.93,3.34
Cre11.g801324_4532,0.26,0.06,0.17,0.29,0.2,0.25,0.59,0.75,0.92
Cre11.g801325_4532,0,0,0,0.64,2.36,1.71,0.56,2.11,3.45
